starttime	seconds	ctime	dtime	ttime	wait
Sat Aug 09 21:35:02 2008	1218332102939704	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102939741	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102939776	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102939811	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102939845	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102939878	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102939911	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102939958	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102939992	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102949048	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102949085	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102949155	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102949190	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102949225	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102949260	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102949295	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102949328	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102948989	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102949121	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102957876	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102957933	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102958004	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102958038	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102958072	0	18	18	8
Sat Aug 09 21:35:02 2008	1218332102958108	9	9	18	8
Sat Aug 09 21:35:02 2008	1218332102958143	9	9	18	8
Sat Aug 09 21:35:02 2008	1218332102958176	9	9	18	8
Sat Aug 09 21:35:02 2008	1218332102957969	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102958208	9	9	18	8
Sat Aug 09 21:35:02 2008	1218332102967792	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102967828	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102967863	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102967899	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102967967	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102968000	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102968032	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102967933	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102967745	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102968066	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102976585	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102976642	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102976681	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102976717	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102976750	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102976783	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102976818	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102976853	0	18	18	9
Sat Aug 09 21:35:02 2008	1218332102976887	9	9	18	9
Sat Aug 09 21:35:02 2008	1218332102976920	9	9	18	9
Sat Aug 09 21:35:02 2008	1218332102986573	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102986619	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102986654	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102986690	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102986724	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102986758	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102986791	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102986823	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102986856	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102986889	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102995507	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102995598	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102995632	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102995666	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102995734	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102995803	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102995699	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102995768	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102995838	0	18	18	17
