gc_iter	gc_defnew_start	gc_defnew_end	gc_defnew_all	gc_paus_time	gc_start_occ	gc_end_occ	gc_main_paus_time	
22.162	1592	43	1728	0.0005150	20543	18994	0.0005750
22.165	1494	88	1728	0.0006170	20445	19039	0.0006790
22.168	1613	135	1728	0.0006760	20564	19086	0.0007400
22.171	1644	46	1728	0.0005130	20595	18997	0.0006050
22.174	1537	47	1728	0.0005150	20488	18998	0.0005740
22.177	1564	47	1728	0.0015630	20516	18999	0.0016330
22.181	1544	145	1728	0.0007320	20495	19096	0.0007980
22.184	1617	98	1728	0.0006030	20569	19049	0.0006640
22.194	1594	150	1728	0.0007960	20545	19101	0.0008650
22.197	1670	102	1728	0.0007930	20621	19053	0.0008600
22.200	1541	103	1728	0.0006100	20493	19054	0.0006720
22.203	1564	104	1728	0.0006150	20515	19056	0.0006760
22.206	1586	106	1728	0.0005910	20537	19057	0.0006540
22.209	1608	107	1728	0.0006510	20559	19059	0.0007140
22.212	1630	109	1728	0.0006130	20581	19060	0.0006750
22.221	1597	55	1728	0.0005340	20548	19006	0.0005940
22.224	1562	168	1728	0.0007510	20513	19119	0.0008190
22.227	1637	113	1728	0.0007280	20588	19064	0.0007930
22.230	1600	172	1728	0.0007600	20551	19123	0.0008270
22.233	1677	116	1728	0.0006330	20628	19067	0.0006950
22.236	1639	176	1728	0.0008890	20590	19127	0.0009580
22.240	1657	59	1728	0.0005400	20608	19010	0.0006000
22.243	1557	120	1728	0.0006400	20508	19071	0.0007050
22.246	1573	121	1728	0.0006380	20524	19072	0.0007010
22.249	1590	122	1728	0.0006650	20541	19074	0.0007290
22.252	1606	124	1728	0.0006500	20557	19075	0.0007120
22.255	1623	125	1728	0.0006470	20574	19076	0.0007090
22.265	1639	126	1728	0.0006680	20590	19077	0.0007340
22.268	1656	127	1728	0.0006560	20607	19079	0.0007200
22.271	1607	64	1728	0.0005400	20559	19015	0.0006000
22.274	1558	130	1728	0.0008350	20509	19146	0.0009050
22.277	1572	131	1728	0.0007110	20588	19147	0.0007750
22.280	1652	66	1728	0.0005660	20668	19082	0.0006260
22.291	1601	133	1728	0.0008490	20617	19217	0.0009190
22.294	1615	135	1728	0.0007650	20698	19218	0.0008310
22.297	1629	136	1728	0.0011150	20712	19287	0.0012070
22.300	1643	137	1728	0.0007020	20794	19288	0.0007660
22.303	1657	138	1728	0.0012720	20808	19358	0.0013440
22.308	1671	139	1728	0.0077380	20891	19360	0.0078130
22.319	1544	140	1728	0.0006740	20764	19361	0.0007390
22.322	1555	141	1728	0.0006520	20776	19362	0.0007140
22.325	1567	142	1728	0.0007520	20787	19363	0.0008190
22.328	1579	143	1728	0.0006810	20799	19364	0.0007470
22.331	1590	145	1728	0.0006890	20811	19365	0.0007540
22.334	1602	146	1728	0.0006870	20822	19366	0.0007530
22.337	1613	147	1728	0.0008290	20834	19367	0.0008960
22.347	1625	148	1728	0.0006920	20845	19368	0.0007590
22.350	1637	149	1728	0.0006800	20857	19369	0.0007450
22.353	1648	150	1728	0.0007960	20869	19370	0.0008630
22.356	1660	151	1728	0.0007080	20880	19371	0.0007720
22.359	1671	152	1728	0.0007020	20892	19372	0.0007660
22.363	1683	153	1728	0.0007050	20903	19373	0.0007710
22.366	1617	77	1728	0.0005570	20838	19297	0.0006160
22.368	1551	155	1728	0.0009780	20771	19453	0.0010500
22.372	1560	156	1728	0.0007140	20858	19454	0.0007790
22.375	1648	78	1728	0.0005790	20946	19376	0.0006390
22.385	1580	158	1728	0.0009770	20878	19535	0.0010480
22.388	1590	159	1728	0.0007160	20967	19536	0.0007810
22.391	1679	80	1728	0.0005950	21057	19457	0.0006960
22.395	1610	161	1728	0.0009660	20987	19619	0.0010370
22.398	1619	162	1728	0.0007320	21077	19620	0.0007980
22.401	1629	163	1728	0.0010160	21087	19702	0.0010870
22.404	1638	164	1728	0.0076000	21178	19703	0.0076780
22.414	1648	165	1728	0.0009820	21187	19787	0.0010540
22.418	1657	166	1728	0.0007180	21279	19788	0.0007810
22.421	1667	166	1728	0.0010060	21289	19872	0.0010760
22.424	1676	168	1728	0.0007470	21382	19873	0.0008130
22.427	1686	168	1728	0.0009910	21391	19958	0.0010620
22.431	1695	169	1728	0.0007350	21485	19959	0.0008020
22.434	1705	170	1728	0.0009920	21495	20046	0.0010630
22.438	1628	85	1728	0.0006030	21504	19961	0.0006660
22.441	1551	172	1728	0.0007770	21426	20047	0.0008440
22.444	1559	173	1728	0.0008630	21434	20048	0.0009320
22.447	1566	174	1728	0.0007630	21441	20049	0.0008300
22.457	1574	175	1728	0.0007850	21449	20050	0.0008540
22.460	1581	176	1728	0.0007630	21457	20051	0.0009150
22.463	1589	176	1728	0.0007620	21464	20052	0.0008310
22.466	1597	177	1728	0.0007640	21472	20052	0.0008300
22.469	1604	178	1728	0.0008200	21479	20053	0.0008860
22.472	1612	179	1728	0.0007960	21487	20054	0.0008630
22.476	1619	180	1728	0.0007770	21495	20055	0.0008440
22.486	1627	181	1728	0.0007590	21502	20056	0.0008290
22.489	1635	181	1728	0.0008090	21510	20057	0.0008780
22.492	1642	182	1728	0.0007770	21517	20058	0.0008450
22.495	1650	183	1728	0.0007760	21525	20058	0.0008430
22.499	1657	184	1728	0.0007720	21533	20059	0.0008730
22.502	1665	185	1728	0.0007900	21540	20060	0.0008570
22.505	1673	186	1728	0.0008170	21548	20061	0.0008860
22.515	1680	187	1728	0.0007940	21555	20062	0.0008630
22.519	1688	187	1728	0.0007950	21563	20063	0.0008640
22.522	1695	188	1728	0.0007900	21571	20063	0.0008570
22.525	1703	189	1728	0.0008270	21578	20064	0.0008960
22.528	1710	190	1728	0.0008240	21586	20065	0.0008950
22.532	1718	191	1728	0.0007960	21593	20066	0.0008640
22.542	1726	96	1728	0.0008510	21601	20067	0.0009210
22.545	1541	96	1728	0.0006540	21512	20067	0.0007190
22.548	1547	96	1728	0.0012120	21518	20261	0.0012840
22.551	1456	97	1728	0.0008610	21621	20359	0.0009290
22.555	1559	97	1728	0.0006240	21821	20359	0.0006870
22.558	1566	97	1728	0.0010990	21828	20555	0.0011670
22.561	1474	98	1728	0.0008610	21931	20654	0.0009300
22.565	1578	98	1728	0.0006530	22134	20654	0.0007150
22.567	1584	99	1728	0.0011670	22140	20853	0.0012370
22.571	1491	99	1728	0.0008630	22245	20953	0.0009330
22.574	1596	100	1728	0.0006400	22450	20953	0.0007010
22.584	1603	100	1728	0.0011130	22457	21154	0.0011820
22.588	1509	100	1728	0.0008800	22563	21255	0.0009500
22.591	1615	101	1728	0.0006430	22770	21256	0.0007050
22.595	1621	101	1728	0.0011410	22776	21459	0.0012100
22.598	1526	101	1728	0.0008940	22884	21561	0.0009630
22.602	1634	102	1728	0.0006570	23093	21561	0.0007180
22.604	1435	102	1728	0.0077230	22894	21664	0.0077980
22.614	1542	102	1728	0.0011890	23105	21870	0.0012600
22.618	1548	103	1728	0.0008880	23316	21974	0.0009580
22.622	1554	103	1728	0.0011910	23425	22182	0.0012630
22.625	1559	104	1728	0.0009480	23637	22286	0.0010180
22.628	1565	104	1728	0.0012290	23747	22495	0.0013010
22.632	1570	104	1728	0.0009070	23961	22600	0.0009760
22.642	1576	105	1728	0.0011720	24072	22811	0.0012430
22.647	1639	111	1728	0.0006540	24345	22817	0.0007120
22.650	1643	28	1728	0.0007910	24350	22839	0.0008540
22.653	1555	38	1728	0.0006530	24366	22850	0.0007150
22.656	1566	31	1728	0.0005080	24378	22843	0.0005680
22.658	1560	54	1728	0.0005540	24371	22865	0.0006160
22.661	1552	40	1728	0.0005130	24364	22851	0.0005740
22.664	1566	44	1728	0.0005390	24377	22855	0.0005980
22.667	1563	71	1728	0.0005760	24374	22882	0.0006370
22.670	1603	50	1728	0.0006370	24414	22862	0.0006970
22.672	1573	80	1728	0.0005990	24385	22892	0.0006590
22.675	1578	56	1728	0.0005300	24390	22868	0.0005900
22.685	1572	59	1728	0.0005870	24383	22871	0.0006500
22.688	1583	93	1728	0.0006150	24395	22904	0.0006770
22.691	1618	96	1728	0.0006240	24430	22908	0.0006880
22.694	1615	67	1728	0.0005610	24427	22878	0.0006200
22.697	1572	69	1728	0.0006090	24383	22881	0.0006700
22.700	1589	35	1728	0.0005130	24401	22847	0.0005710
22.703	1531	73	1728	0.0006250	24342	22885	0.0006890
22.713	1575	76	1728	0.0006110	24386	22887	0.0006740
22.716	1580	39	1728	0.0005120	24392	22850	0.0005710
22.719	1503	80	1728	0.0005880	24315	22891	0.0006500
22.722	1539	81	1728	0.0006140	24351	22893	0.0006760
22.724	1575	83	1728	0.0006240	24387	22895	0.0006860
22.727	1611	85	1728	0.0005940	24423	22897	0.0006540
22.730	1604	43	1728	0.0005350	24415	22855	0.0005960
22.733	1505	89	1728	0.0076470	24316	22900	0.0077190
22.743	1624	136	1728	0.0007950	24436	22948	0.0008640
22.746	1656	46	1728	0.0005380	24467	22858	0.0005980
22.749	1547	47	1728	0.0005650	24359	22858	0.0006240
22.752	1575	48	1728	0.0005450	24386	22859	0.0006040
